plataforma,equipamento,tipo_sensor,valor,unidade,timestamp
Plataforma A,SensorBox 1,temperatura,97.94,C,2025-03-22T16:35:01.984946+00:00
Plataforma A,SensorBox 1,umidade,18.18,%,2025-03-22T16:35:01.984946+00:00
Plataforma A,SensorBox 1,pressao,67.23,Pa,2025-03-22T16:35:01.984946+00:00
Plataforma B,SensorBox 3,temperatura,18.99,C,2025-03-22T16:35:01.984995+00:00
Plataforma B,SensorBox 3,umidade,26.41,%,2025-03-22T16:35:01.984995+00:00
Plataforma B,SensorBox 3,pressao,23.01,Pa,2025-03-22T16:35:01.984995+00:00
Plataforma A,SensorBox 1,temperatura,39.38,C,2025-03-22T16:35:01.985005+00:00
Plataforma A,SensorBox 1,umidade,23.1,%,2025-03-22T16:35:01.985005+00:00
Plataforma A,SensorBox 1,pressao,58.58,Pa,2025-03-22T16:35:01.985005+00:00
Plataforma A,SensorBox 3,temperatura,68.01,C,2025-03-22T16:35:01.985012+00:00
Plataforma A,SensorBox 3,umidade,16.07,%,2025-03-22T16:35:01.985012+00:00
Plataforma A,SensorBox 3,pressao,20.31,Pa,2025-03-22T16:35:01.985012+00:00
Plataforma A,SensorBox 3,temperatura,34.31,C,2025-03-22T16:35:01.985021+00:00
Plataforma A,SensorBox 3,umidade,59.03,%,2025-03-22T16:35:01.985021+00:00
Plataforma A,SensorBox 3,pressao,90.79,Pa,2025-03-22T16:35:01.985021+00:00
Plataforma A,SensorBox 3,temperatura,25.6,C,2025-03-22T16:35:01.985028+00:00
Plataforma A,SensorBox 3,umidade,65.48,%,2025-03-22T16:35:01.985028+00:00
Plataforma A,SensorBox 3,pressao,63.79,Pa,2025-03-22T16:35:01.985028+00:00
Plataforma B,SensorBox 2,temperatura,65.33,C,2025-03-22T16:35:01.985035+00:00
Plataforma B,SensorBox 2,umidade,51.73,%,2025-03-22T16:35:01.985035+00:00
Plataforma B,SensorBox 2,pressao,14.13,Pa,2025-03-22T16:35:01.985035+00:00
Plataforma C,SensorBox 2,temperatura,55.76,C,2025-03-22T16:35:01.985042+00:00
Plataforma C,SensorBox 2,umidade,26.27,%,2025-03-22T16:35:01.985042+00:00
Plataforma C,SensorBox 2,pressao,80.39,Pa,2025-03-22T16:35:01.985042+00:00
Plataforma B,SensorBox 3,temperatura,41.69,C,2025-03-22T16:35:01.985049+00:00
Plataforma B,SensorBox 3,umidade,43.22,%,2025-03-22T16:35:01.985049+00:00
Plataforma B,SensorBox 3,pressao,22.92,Pa,2025-03-22T16:35:01.985049+00:00
Plataforma C,SensorBox 3,temperatura,37.2,C,2025-03-22T16:35:01.985177+00:00
Plataforma C,SensorBox 3,umidade,11.01,%,2025-03-22T16:35:01.985177+00:00
Plataforma C,SensorBox 3,pressao,63.28,Pa,2025-03-22T16:35:01.985177+00:00
Plataforma C,SensorBox 3,temperatura,58.77,C,2025-03-22T16:35:01.985185+00:00
Plataforma C,SensorBox 3,umidade,74.21,%,2025-03-22T16:35:01.985185+00:00
Plataforma C,SensorBox 3,pressao,73.91,Pa,2025-03-22T16:35:01.985185+00:00
Plataforma C,SensorBox 3,temperatura,11.92,C,2025-03-22T16:35:01.985191+00:00
Plataforma C,SensorBox 3,umidade,91.68,%,2025-03-22T16:35:01.985191+00:00
Plataforma C,SensorBox 3,pressao,62.63,Pa,2025-03-22T16:35:01.985191+00:00
Plataforma B,SensorBox 2,temperatura,84.69,C,2025-03-22T16:35:01.985197+00:00
Plataforma B,SensorBox 2,umidade,67.9,%,2025-03-22T16:35:01.985197+00:00
Plataforma B,SensorBox 2,pressao,75.7,Pa,2025-03-22T16:35:01.985197+00:00
Plataforma C,SensorBox 2,temperatura,49.26,C,2025-03-22T16:35:01.985204+00:00
Plataforma C,SensorBox 2,umidade,85.4,%,2025-03-22T16:35:01.985204+00:00
Plataforma C,SensorBox 2,pressao,82.31,Pa,2025-03-22T16:35:01.985204+00:00
Plataforma B,SensorBox 3,temperatura,15.09,C,2025-03-22T16:35:01.985211+00:00
Plataforma B,SensorBox 3,umidade,43.1,%,2025-03-22T16:35:01.985211+00:00
Plataforma B,SensorBox 3,pressao,61.03,Pa,2025-03-22T16:35:01.985211+00:00
Plataforma B,SensorBox 2,temperatura,24.62,C,2025-03-22T16:35:01.985217+00:00
Plataforma B,SensorBox 2,umidade,40.68,%,2025-03-22T16:35:01.985217+00:00
Plataforma B,SensorBox 2,pressao,37.57,Pa,2025-03-22T16:35:01.985217+00:00
Plataforma C,SensorBox 1,temperatura,78.03,C,2025-03-22T16:35:01.985223+00:00
Plataforma C,SensorBox 1,umidade,78.45,%,2025-03-22T16:35:01.985223+00:00
Plataforma C,SensorBox 1,pressao,42.27,Pa,2025-03-22T16:35:01.985223+00:00
Plataforma C,SensorBox 1,temperatura,93.87,C,2025-03-22T16:35:01.985229+00:00
Plataforma C,SensorBox 1,umidade,39.92,%,2025-03-22T16:35:01.985229+00:00
Plataforma C,SensorBox 1,pressao,63.37,Pa,2025-03-22T16:35:01.985229+00:00
Plataforma C,SensorBox 3,temperatura,37.97,C,2025-03-22T16:35:01.985236+00:00
Plataforma C,SensorBox 3,umidade,95.56,%,2025-03-22T16:35:01.985236+00:00
Plataforma C,SensorBox 3,pressao,20.82,Pa,2025-03-22T16:35:01.985236+00:00
Plataforma A,SensorBox 1,temperatura,78.37,C,2025-03-22T16:35:01.985242+00:00
Plataforma A,SensorBox 1,umidade,56.13,%,2025-03-22T16:35:01.985242+00:00
Plataforma A,SensorBox 1,pressao,53.96,Pa,2025-03-22T16:35:01.985242+00:00
Plataforma A,SensorBox 1,temperatura,54.34,C,2025-03-22T16:35:01.985249+00:00
Plataforma A,SensorBox 1,umidade,36.58,%,2025-03-22T16:35:01.985249+00:00
Plataforma A,SensorBox 1,pressao,93.89,Pa,2025-03-22T16:35:01.985249+00:00
Plataforma C,SensorBox 2,temperatura,63.8,C,2025-03-22T16:35:01.985255+00:00
Plataforma C,SensorBox 2,umidade,83.59,%,2025-03-22T16:35:01.985255+00:00
Plataforma C,SensorBox 2,pressao,74.69,Pa,2025-03-22T16:35:01.985255+00:00
Plataforma C,SensorBox 3,temperatura,42.86,C,2025-03-22T16:35:01.985261+00:00
Plataforma C,SensorBox 3,umidade,59.36,%,2025-03-22T16:35:01.985261+00:00
Plataforma C,SensorBox 3,pressao,50.06,Pa,2025-03-22T16:35:01.985261+00:00
Plataforma A,SensorBox 3,temperatura,84.05,C,2025-03-22T16:35:01.985267+00:00
Plataforma A,SensorBox 3,umidade,10.19,%,2025-03-22T16:35:01.985267+00:00
Plataforma A,SensorBox 3,pressao,87.57,Pa,2025-03-22T16:35:01.985267+00:00
Plataforma A,SensorBox 3,temperatura,31.79,C,2025-03-22T16:35:01.985273+00:00
Plataforma A,SensorBox 3,umidade,97.31,%,2025-03-22T16:35:01.985273+00:00
Plataforma A,SensorBox 3,pressao,57.66,Pa,2025-03-22T16:35:01.985273+00:00
Plataforma C,SensorBox 2,temperatura,60.82,C,2025-03-22T16:35:01.985281+00:00
Plataforma C,SensorBox 2,umidade,15.53,%,2025-03-22T16:35:01.985281+00:00
Plataforma C,SensorBox 2,pressao,15.1,Pa,2025-03-22T16:35:01.985281+00:00
Plataforma B,SensorBox 3,temperatura,30.31,C,2025-03-22T16:35:01.985314+00:00
Plataforma B,SensorBox 3,umidade,16.69,%,2025-03-22T16:35:01.985314+00:00
Plataforma B,SensorBox 3,pressao,52.47,Pa,2025-03-22T16:35:01.985314+00:00
Plataforma B,SensorBox 1,temperatura,87.1,C,2025-03-22T16:35:01.985321+00:00
Plataforma B,SensorBox 1,umidade,92.15,%,2025-03-22T16:35:01.985321+00:00
Plataforma B,SensorBox 1,pressao,65.62,Pa,2025-03-22T16:35:01.985321+00:00
Plataforma B,SensorBox 1,temperatura,79.97,C,2025-03-22T16:35:01.985327+00:00
Plataforma B,SensorBox 1,umidade,58.48,%,2025-03-22T16:35:01.985327+00:00
Plataforma B,SensorBox 1,pressao,97.75,Pa,2025-03-22T16:35:01.985327+00:00
Plataforma A,SensorBox 1,temperatura,24.1,C,2025-03-22T16:35:01.985334+00:00
Plataforma A,SensorBox 1,umidade,82.25,%,2025-03-22T16:35:01.985334+00:00
Plataforma A,SensorBox 1,pressao,27.68,Pa,2025-03-22T16:35:01.985334+00:00
Plataforma C,SensorBox 1,temperatura,44.02,C,2025-03-22T16:35:01.985340+00:00
